,Province,Postalabbrev.,Capital,Largest city,Entered Confederation,Population,Land Area (km2),Water Area (km2),Total Area (km2),Official language(s),Seats – Commons,Seats – Senate
,Ontario[b],ON,Toronto,Toronto,"July 1, 1867",14659616,917741,158654,1076395,English[c],121,24
,Quebec,QC,Quebec City,Montreal,"July 1, 1867",8522800,1356128,185928,1542056,French[d],78,24
,Nova Scotia,NS,Halifax[e],Halifax[e],"July 1, 1867",976768,53338,1946,55284,English[f],11,10
,New Brunswick,NB,Fredericton,Moncton,"July 1, 1867",780021,71450,1458,72908,EnglishFrench[g],10,10
,Manitoba,MB,Winnipeg,Winnipeg,"July 15, 1870",1373859,553556,94241,647797,English[c][h],14,6
,British Columbia,BC,Victoria,Vancouver,"July 20, 1871",5105576,925186,19549,944735,English[c],42,6
,Prince Edward Island,PE,Charlottetown,Charlottetown,"July 1, 1873",157901,5660,0,5660,English[c],4,4
,Saskatchewan,SK,Regina,Saskatoon,"September 1, 1905",1178657,591670,59366,651036,English[c],14,6
,Alberta,AB,Edmonton,Calgary,"September 1, 1905",4395586,642317,19531,661848,English[c],34,6
,Newfoundland and Labrador,NL,St. John's,St. John's,"March 31, 1949",521922,373872,31340,405212,English[c],7,6
,Total,Total,Total,Total,Total,37672706,5490918,572013,6062931,—,335,102
